
SF AREA:

20947,"KRNT","small_airport","Renton Municipal Airport",47.4930992126,-122.216003418,32,"NA","US","US-WA","Renton","no","KRNT","RNT","RNT","https://rentonwa.gov/living/default.aspx?id=212","http://en.wikipedia.org/wiki/Renton_Municipal_Airport","Scott Field"
3922,"KTIW","medium_airport","Tacoma Narrows Airport",47.26789856,-122.5780029,294,"NA","US","US-WA","Tacoma","no","KTIW","TIW","TIW",,"http://en.wikipedia.org/wiki/Tacoma_Narrows_Airport",
19334,"KAWO","small_airport","Arlington Municipal Airport",48.16070175,-122.1589966,142,"NA","US","US-WA","Arlington","no","KAWO",,"AWO",,"http://en.wikipedia.org/wiki/Arlington_Municipal_Airport_(Washington)",
20651,"KNRA","small_airport","Coupeville Nolf Airport",48.18830108642578,-122.63200378417969,199,"NA","US","US-WA","Coupeville","no","KNRA",,"NRA",,"http://en.wikipedia.org/wiki/Naval_Outlying_Field_Coupeville",
21068,"KSHN","small_airport","Sanderson Field",47.233600616455,-123.14800262451,273,"NA","US","US-WA","Shelton","no","KSHN","SHN","SHN","http://www.portofshelton.com/airport.html","http://en.wikipedia.org/wiki/Sanderson_Field",
19035,"KOKH","small_airport","AJ Eisenberg Airport",48.251499176,-122.674003601,193,"NA","US","US-WA","Oak Harbor","no","KOKH","ODW","OKH",,"http://en.wikipedia.org/wiki/A.J._Eisenberg_Airport","Formerly 76S, Wes Lupien"
17182,"KESW","small_airport","Easton State Airport",47.2541999817,-121.185997009,2226,"NA","US","US-WA","Easton","no","KESW","ESW","ESW","http://www.wsdot.wa.gov/Public/Templates/Standard/DefaultTemplate.aspx?NRMODE=Published&NRNODEGUID=%7B3B856445-96DD-44E1-ABCE-2F","http://en.wikipedia.org/wiki/Easton_State_Airport",
19420,"KBVS","small_airport","Skagit Regional Airport",48.4709014893,-122.42099762,144,"NA","US","US-WA","Burlington/Mount Vernon","no","KBVS","MVW","BVS","http://www.portofskagit.com/skagit-regional-airport/","http://en.wikipedia.org/wiki/Skagit_Regional_Airport","75S"
1323,"CYSA","small_airport","Stratford Municipal Airport",43.415599823,-80.93440246579999,1215,"NA","CA","CA-ON","Stratford","no","CYSA",,"CYSA","http://www.city.stratford.on.ca/site_ourcitylife/know_your_city_airport.asp","http://en.wikipedia.org/wiki/Stratford_Municipal_Airport","NM4, CNM4"
19868,"KFHR","small_airport","Friday Harbor Airport",48.5219993591,-123.024002075,113,"NA","US","US-WA","Friday Harbor","yes","KFHR","FRD","FHR","http://www.portfridayharbor.org/?page_id=49","http://en.wikipedia.org/wiki/Friday_Harbor_Airport",







